"Ao final da tarde, gostava de sentar-se no banco da praça para observar o movimento.","banco","um assento longo para mais de uma pessoa"
"Ele esperou por mais de uma hora no banco desconfortável do lado de fora do consultório.","banco","um assento longo para mais de uma pessoa"
"O banco de madeira da varanda precisa de uma nova camada de verniz.","banco","um assento longo para mais de uma pessoa"
"Preciso ir ao banco para sacar dinheiro antes da viagem.","banco","uma instituição financeira que aceita depósitos e canaliza o dinheiro em atividades de empréstimo"
"O banco central anunciou que a taxa de juros permanecerá estável este mês.","banco","uma instituição financeira que aceita depósitos e canaliza o dinheiro em atividades de empréstimo"
"Ela conseguiu um excelente financiamento no banco para comprar seu novo apartamento.","banco","uma instituição financeira que aceita depósitos e canaliza o dinheiro em atividades de empréstimo"
"Com o terremoto, a base do antigo prédio apresentou rachaduras preocupantes.","base","Um suporte ou fundação"
"A maquiadora aplicou uma fina camada de base para uniformizar a pele da modelo.","base","Um suporte ou fundação"
"A escultura foi firmemente assentada sobre uma base de concreto no centro do jardim.","base","Um suporte ou fundação"
"Os gerentes regionais foram convocados para uma reunião na base da empresa na capital.","base","(Geralmente no plural) o escritório que serve como o centro administrativo de uma empresa"
"A decisão de expandir para o mercado asiático foi tomada pela base da multinacional na Europa.","base","(Geralmente no plural) o escritório que serve como o centro administrativo de uma empresa"
"O advogado argumentou que a acusação não tinha qualquer base legal.","base","os pressupostos fundamentais dos quais algo é iniciado ou desenvolvido ou calculado ou explicado"
"O cálculo da estimativa populacional teve como base os dados do último censo.","base","os pressupostos fundamentais dos quais algo é iniciado ou desenvolvido ou calculado ou explicado"
"Toda a sua teoria foi construída com base em premissas que se provaram falsas.","base","os pressupostos fundamentais dos quais algo é iniciado ou desenvolvido ou calculado ou explicado"
"Ele procurou as chaves do carro no fundo da mochila e não as encontrou.","fundo","o lado inferior de qualquer coisa"
"Havia uma pequena inscrição quase ilegível no fundo da antiga caixa de madeira.","fundo","o lado inferior de qualquer coisa"
"Depois que todos saíram, ele ficou sozinho no fundo do salão.","fundo","o lado inferior de qualquer coisa"
"A pressão da água no fundo do oceano é capaz de esmagar a maioria dos submarinos.","fundo","O fundo do mar ou oceano"
"Os destroços do navio foram localizados por um robô no fundo do mar.","fundo","O fundo do mar ou oceano"
"A universidade recebeu uma doação para criar um fundo de bolsas de estudo para alunos carentes.","fundo","Algo (como propriedade) mantido por um grupo (administradores) para o benefício de outros (beneficiários)"
"Ele diversificou sua carteira aplicando parte do dinheiro em um fundo de ações.","fundo","Algo (como propriedade) mantido por um grupo (administradores) para o benefício de outros (beneficiários)"
"O fundo de pensão da empresa garantiu uma aposentadoria confortável para todos os seus ex-colaboradores.","fundo","Algo (como propriedade) mantido por um grupo (administradores) para o benefício de outros (beneficiários)"
"O topo da montanha era o ponto de encontro de todos os alpinistas.","ponto","um ponto ou extensão no espaço"
"Chegamos a um ponto crítico do projeto, onde não podemos mais voltar atrás.","ponto","um ponto ou extensão no espaço"
"Você pode me deixar no próximo ponto de ônibus, por favor?","ponto","um ponto ou extensão no espaço"
"Durante a estreia, o ator principal teve um lapso de memória e precisou da ajuda do ponto.","ponto","Alguém que auxilia um artista fornecendo as próximas palavras de uma fala esquecida"
"O diretor de teatro repreendeu o ponto por não estar atento durante o ensaio geral.","ponto","Alguém que auxilia um artista fornecendo as próximas palavras de uma fala esquecida"
"A atriz, nervosa, olhou para a coxia esperando um sinal do ponto, que prontamente sussurrou a fala.","ponto","Alguém que auxilia um artista fornecendo as próximas palavras de uma fala esquecida"
"O ladrão usou uma barra de ferro para forçar a janela dos fundos.","barra","uma peça rígida de metal ou madeira; normalmente usada como fechamento ou obstrução ou arma"
"À noite, o caseiro passava uma pesada barra de madeira na porta principal para maior segurança.","barra","uma peça rígida de metal ou madeira; normalmente usada como fechamento ou obstrução ou arma"
"O chute do atacante explodiu na barra e a torcida gritou em desapontamento.","barra","Uma obstrução (geralmente de metal) colocadas na parte superior de um gol."
"A bola encobriu o goleiro e caprichosamente tocou na barra antes de sair.","barra","Uma obstrução (geralmente de metal) colocadas na parte superior de um gol."
